dataset,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_precision_mean,test_recall_mean,test_f1_mean,test_loss_mean,epochs_mean,epochs_std,train_time_s_mean
Gaussian_2D_Wide,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0001626742869317767,984.3666666666667,57.9038938201934,0.846857306033337
Gaussian_2D_Narrow,0.9941666666666668,0.010754576678801918,0.975,1.0,0.9984126984126984,0.99,0.9940587867417137,0.011035429402550012,585.5333333333333,397.5283753336387,0.4940146364333335
Gaussian_2D_Overlap,0.9291666666666668,0.032219166852103374,0.85,1.0,0.9212147683657981,0.9416666666666665,0.9299364549672039,0.18338994412286602,89.16666666666667,54.44521658690873,0.0745911622333324
Gaussian_3D_Wide,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.1377721602097804e-05,1000.0,0.0,0.8312597214000031
Gaussian_3D_Narrow,0.995,0.013771534860493708,0.95,1.0,0.9951587301587301,0.995,0.9949529311082586,0.008818668078014675,699.3,386.2958621360683,0.5813709247333312
Gaussian_3D_Overlap,0.9566666666666669,0.02170862427276522,0.925,1.0,0.9612724994303943,0.9533333333333333,0.9564142140843039,0.11072485115765449,80.5,68.52875057355426,0.06625469176667215
Moons_2D_Wide,0.9991666666666668,0.002305665186887073,0.99,1.0,0.9986765676567657,0.9996666666666667,0.9991691542288557,0.003146542802950046,806.5666666666667,290.70113617719596,2.3882684069333378
Moons_2D_Narrow,0.9973333333333334,0.0036514837167011104,0.985,1.0,0.9966897023035638,0.998,0.9973349417068761,0.01059123314375012,344.03333333333336,246.36970863589,1.0069692456333277
Moons_2D_Overlap,0.9348333333333333,0.016214262204940863,0.895,0.96,0.9335880811666909,0.9369999999999999,0.9349561683362341,0.18104309125542198,170.23333333333332,78.40024777113088,0.5001262697666713
