dataset,hidden,n_params,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,test_loss_mean,epochs_mean,ceiling,gap_to_ceiling
Moons_2D_Overlap,"(4,)",17,0.9411666666666666,0.01297765542114153,0.9450000000000001,0.17011997703673784,158.06666666666666,0.946,0.004833333333333356
Moons_2D_Overlap,"(8,)",33,0.9348333333333333,0.016214262204940863,0.9416666666666665,0.18104309125542198,170.23333333333332,0.946,0.011166666666666658
Moons_2D_Overlap,"(16,)",65,0.9373333333333334,0.015070714541175818,0.9440000000000001,0.1709579002524352,192.43333333333334,0.946,0.0086666666666666
Moons_2D_Overlap,"(32,)",129,0.9369999999999998,0.01399507302465822,0.9420000000000001,0.17413199412172978,174.16666666666666,0.946,0.009000000000000119
Moons_2D_Overlap,"(64,)",257,0.9371666666666667,0.01617167240905362,0.941111111111111,0.17195597768715312,170.36666666666667,0.946,0.008833333333333249
Moons_2D_Overlap,"(16, 16)",337,0.9368333333333332,0.014591171949181251,0.9417222222222221,0.18097348974105293,114.33333333333333,0.946,0.009166666666666767
Gaussian_2D_Overlap,"(4,)",17,0.9291666666666666,0.035406100519867874,0.9355555555555556,0.18361449302062255,107.7,0.925,-0.004166666666666541
Gaussian_2D_Overlap,"(8,)",33,0.9291666666666668,0.032219166852103374,0.9316666666666666,0.18338994412286602,89.16666666666667,0.925,-0.004166666666666763
Gaussian_2D_Overlap,"(16,)",65,0.9258333333333333,0.039655484756391114,0.9327777777777778,0.1816991200269262,90.33333333333333,0.925,-0.0008333333333332416
Gaussian_2D_Overlap,"(32,)",129,0.9275000000000002,0.033701273893859934,0.9297222222222222,0.18050805550290092,79.73333333333333,0.925,-0.0025000000000001688
Gaussian_2D_Overlap,"(64,)",257,0.9299999999999999,0.0367892413058773,0.9302777777777778,0.18524470114919614,69.13333333333334,0.925,-0.004999999999999893
Gaussian_2D_Overlap,"(16, 16)",337,0.9291666666666667,0.037187394354143366,0.9333333333333333,0.18645411279440205,89.8,0.925,-0.004166666666666652
